Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,040913,2024,10,02,15.2,1,Y
IDCJAC0011,040913,2024,10,03,14.1,1,Y
IDCJAC0011,040913,2024,10,04,12.0,1,Y
IDCJAC0011,040913,2024,10,05,13.2,1,Y
IDCJAC0011,040913,2024,10,06,16.4,1,Y
IDCJAC0011,040913,2024,10,07,17.8,1,Y
IDCJAC0011,040913,2024,10,08,20.1,1,Y
IDCJAC0011,040913,2024,10,09,19.5,1,Y
IDCJAC0011,040913,2024,10,10,16.3,1,Y
IDCJAC0011,040913,2024,10,11,16.7,1,Y
IDCJAC0011,040913,2024,10,12,15.0,1,Y
IDCJAC0011,040913,2024,10,13,17.2,1,Y
IDCJAC0011,040913,2024,10,14,16.8,1,Y
IDCJAC0011,040913,2024,10,15,16.5,1,Y
IDCJAC0011,040913,2024,10,16,16.2,1,Y
IDCJAC0011,040913,2024,10,17,18.0,1,Y
IDCJAC0011,040913,2024,10,18,20.1,1,Y
IDCJAC0011,040913,2024,10,19,18.8,1,Y
IDCJAC0011,040913,2024,10,20,19.6,1,Y
IDCJAC0011,040913,2024,10,21,19.8,1,Y
IDCJAC0011,040913,2024,10,22,17.7,1,Y
IDCJAC0011,040913,2024,10,23,18.1,1,Y
IDCJAC0011,040913,2024,10,24,22.1,1,Y
IDCJAC0011,040913,2024,10,25,20.9,1,Y
IDCJAC0011,040913,2024,10,26,17.2,1,Y
IDCJAC0011,040913,2024,10,27,18.9,1,Y
IDCJAC0011,040913,2024,10,28,18.8,1,Y
IDCJAC0011,040913,2024,10,29,15.6,1,Y
IDCJAC0011,040913,2024,10,30,20.2,1,Y
IDCJAC0011,040913,2024,10,31,19.1,1,Y
IDCJAC0011,040913,2024,11,01,18.4,1,N
IDCJAC0011,040913,2024,11,02,17.9,1,N
IDCJAC0011,040913,2024,11,03,18.5,1,N
IDCJAC0011,040913,2024,11,04,19.3,1,N
IDCJAC0011,040913,2024,11,05,20.7,1,N
IDCJAC0011,040913,2024,11,06,20.9,1,N
IDCJAC0011,040913,2024,11,07,21.7,1,N
IDCJAC0011,040913,2024,11,08,24.4,1,N
IDCJAC0011,040913,2024,11,09,23.1,1,N
IDCJAC0011,040913,2024,11,10,22.3,1,N
IDCJAC0011,040913,2024,11,11,21.8,1,N
IDCJAC0011,040913,2024,11,12,21.7,1,N
IDCJAC0011,040913,2024,11,13,20.7,1,N
IDCJAC0011,040913,2024,11,14,19.0,1,N
IDCJAC0011,040913,2024,11,15,20.7,1,N
IDCJAC0011,040913,2024,11,16,22.1,1,N
IDCJAC0011,040913,2024,11,17,18.3,1,N
IDCJAC0011,040913,2024,11,18,19.5,1,N
IDCJAC0011,040913,2024,11,19,20.8,1,N
IDCJAC0011,040913,2024,11,20,17.1,1,N
IDCJAC0011,040913,2024,11,21,18.5,1,N
IDCJAC0011,040913,2024,11,22,18.8,1,Y
IDCJAC0011,040913,2024,11,23,18.5,1,N
IDCJAC0011,040913,2024,11,24,17.2,1,N
IDCJAC0011,040913,2024,11,25,18.0,1,N
IDCJAC0011,040913,2024,11,26,19.0,1,N
IDCJAC0011,040913,2024,11,27,21.5,1,N
IDCJAC0011,040913,2024,11,28,22.9,1,N
IDCJAC0011,040913,2024,11,29,22.8,1,N
IDCJAC0011,040913,2024,11,30,22.8,1,N
IDCJAC0011,040913,2024,12,01,23.0,1,Y
IDCJAC0011,040913,2024,12,02,22.0,1,Y
IDCJAC0011,040913,2024,12,03,23.1,1,Y
IDCJAC0011,040913,2024,12,04,23.7,1,Y
IDCJAC0011,040913,2024,12,05,23.3,1,Y
IDCJAC0011,040913,2024,12,06,21.0,1,Y
IDCJAC0011,040913,2024,12,07,23.1,1,Y
IDCJAC0011,040913,2024,12,08,21.9,1,Y
IDCJAC0011,040913,2024,12,09,25.3,1,Y
IDCJAC0011,040913,2024,12,10,25.1,1,Y
IDCJAC0011,040913,2024,12,11,20.4,1,Y
IDCJAC0011,040913,2024,12,12,19.9,1,Y
IDCJAC0011,040913,2024,12,13,21.3,1,Y
IDCJAC0011,040913,2024,12,14,23.7,1,Y
IDCJAC0011,040913,2024,12,15,21.9,1,Y
IDCJAC0011,040913,2024,12,16,23.8,1,Y
IDCJAC0011,040913,2024,12,17,23.4,1,Y
IDCJAC0011,040913,2024,12,18,24.3,1,Y
IDCJAC0011,040913,2024,12,19,19.7,1,Y
IDCJAC0011,040913,2024,12,20,18.5,1,Y
IDCJAC0011,040913,2024,12,21,21.6,1,Y
IDCJAC0011,040913,2024,12,22,19.9,1,Y
IDCJAC0011,040913,2024,12,23,22.9,1,Y
IDCJAC0011,040913,2024,12,24,20.8,1,Y
IDCJAC0011,040913,2024,12,25,19.7,1,Y
IDCJAC0011,040913,2024,12,26,18.4,1,Y
IDCJAC0011,040913,2024,12,27,19.4,1,Y
IDCJAC0011,040913,2024,12,28,23.5,1,Y
IDCJAC0011,040913,2024,12,29,23.2,1,Y
IDCJAC0011,040913,2024,12,30,24.0,1,Y
IDCJAC0011,040913,2024,12,31,21.0,1,Y
