Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2024,10,25,22.3,1,Y
IDCJAC0010,066214,2024,10,26,20.7,1,Y
IDCJAC0010,066214,2024,10,27,24.2,1,Y
IDCJAC0010,066214,2024,10,28,26.8,1,Y
IDCJAC0010,066214,2024,10,29,23.6,1,Y
IDCJAC0010,066214,2024,10,30,25.2,1,Y
IDCJAC0010,066214,2024,10,31,27.3,1,Y
IDCJAC0010,066214,2024,11,01,23.6,1,Y
IDCJAC0010,066214,2024,11,02,21.1,1,Y
IDCJAC0010,066214,2024,11,03,28.6,1,Y
IDCJAC0010,066214,2024,11,04,21.6,1,Y
IDCJAC0010,066214,2024,11,05,24.1,1,Y
IDCJAC0010,066214,2024,11,06,27.5,1,Y
IDCJAC0010,066214,2024,11,07,30.7,1,Y
IDCJAC0010,066214,2024,11,08,30.7,1,Y
IDCJAC0010,066214,2024,11,09,26.8,1,Y
IDCJAC0010,066214,2024,11,10,26.3,1,Y
IDCJAC0010,066214,2024,11,11,21.0,1,Y
IDCJAC0010,066214,2024,11,12,24.9,1,Y
IDCJAC0010,066214,2024,11,13,26.0,1,Y
IDCJAC0010,066214,2024,11,14,22.9,1,Y
IDCJAC0010,066214,2024,11,15,21.2,1,Y
IDCJAC0010,066214,2024,11,16,24.7,1,Y
IDCJAC0010,066214,2024,11,17,27.4,1,Y
IDCJAC0010,066214,2024,11,18,28.0,1,Y
IDCJAC0010,066214,2024,11,19,23.3,1,Y
IDCJAC0010,066214,2024,11,20,24.9,1,Y
IDCJAC0010,066214,2024,11,21,25.8,1,Y
IDCJAC0010,066214,2024,11,22,26.2,1,Y
IDCJAC0010,066214,2024,11,23,27.5,1,Y
IDCJAC0010,066214,2024,11,24,26.4,1,Y
IDCJAC0010,066214,2024,11,25,27.8,1,Y
IDCJAC0010,066214,2024,11,26,28.2,1,Y
IDCJAC0010,066214,2024,11,27,32.9,1,Y
IDCJAC0010,066214,2024,11,28,29.0,1,Y
IDCJAC0010,066214,2024,11,29,22.1,1,Y
IDCJAC0010,066214,2024,11,30,24.7,1,Y
IDCJAC0010,066214,2024,12,01,29.0,1,Y
IDCJAC0010,066214,2024,12,02,33.3,1,Y
IDCJAC0010,066214,2024,12,03,30.0,1,Y
IDCJAC0010,066214,2024,12,04,26.8,1,Y
IDCJAC0010,066214,2024,12,05,25.8,1,Y
IDCJAC0010,066214,2024,12,06,27.5,1,Y
IDCJAC0010,066214,2024,12,07,29.3,1,Y
IDCJAC0010,066214,2024,12,08,28.4,1,Y
IDCJAC0010,066214,2024,12,09,24.8,1,Y
IDCJAC0010,066214,2024,12,10,25.8,1,Y
IDCJAC0010,066214,2024,12,11,26.4,1,Y
IDCJAC0010,066214,2024,12,12,28.1,1,Y
IDCJAC0010,066214,2024,12,13,30.3,1,Y
IDCJAC0010,066214,2024,12,14,29.2,1,Y
IDCJAC0010,066214,2024,12,15,28.8,1,Y
IDCJAC0010,066214,2024,12,16,29.0,1,Y
IDCJAC0010,066214,2024,12,17,32.1,1,Y
IDCJAC0010,066214,2024,12,18,23.6,1,Y
IDCJAC0010,066214,2024,12,19,25.1,1,Y
IDCJAC0010,066214,2024,12,20,26.1,1,Y
IDCJAC0010,066214,2024,12,21,27.2,1,Y
IDCJAC0010,066214,2024,12,22,27.2,1,Y
IDCJAC0010,066214,2024,12,23,29.1,1,Y
IDCJAC0010,066214,2024,12,24,25.5,1,Y
IDCJAC0010,066214,2024,12,25,27.4,1,Y
IDCJAC0010,066214,2024,12,26,28.6,1,Y
IDCJAC0010,066214,2024,12,27,37.4,1,Y
IDCJAC0010,066214,2024,12,28,27.2,1,Y
IDCJAC0010,066214,2024,12,29,30.2,1,Y
IDCJAC0010,066214,2024,12,30,28.2,1,Y
IDCJAC0010,066214,2024,12,31,30.1,1,Y
